latitude,longitude,height
4, -64, -1052.67253951472
4, -63.984375, -1048.25134729792
4, -63.96875, -1049.75299667194
4, -63.953125, -1040.61307147157
4, -63.9375, -1028.04765575263
4, -63.921875, -1015.48399560025
4, -63.90625, -1010.81982021977
4, -63.890625, -1008.41343542177
4, -63.875, -1001.03347595572
4, -63.859375, -1000.59540229337
4, -63.84375, -1005.32048780075
4, -63.828125, -998.303114216193
4, -63.8125, -996.193137668772
4, -63.796875, -992.5885811263
4, -63.78125, -990.28932281828
4, -63.765625, -982.193467682344
4, -63.75, -983.91864828486
4, -63.734375, -989.267707694205
4, -63.71875, -998.647414255771
4, -63.703125, -1004.49740933196
4, -63.6875, -1012.74432935333
4, -63.671875, -1015.57418406918
4, -63.65625, -1014.68104943191
4, -63.640625, -1015.04766591883
4, -63.625, -1018.61008928891
4, -63.609375, -1013.51884108433
4, -63.59375, -1009.25515715033
4, -63.578125, -1018.30096816679
4, -63.5625, -1016.40119659284
4, -63.546875, -1011.43803045386
4, -63.53125, -1009.29155874765
4, -63.515625, -1009.00205811497
4, -63.5, -1003.67847255792
4, -63.484375, -1005.14873694663
4, -63.46875, -1010.78021082003
4, -63.453125, -1013.31665979372
4, -63.4375, -1021.93038758461
4, -63.421875, -1030.09180872655
4, -63.40625, -1034.69643278199
4, -63.390625, -1034.02199083031
4, -63.375, -1033.14995986933
4, -63.359375, -1036.94938301342
4, -63.34375, -1041.91143937223
4, -63.328125, -1046.33321052033
4, -63.3125, -1050.17401173024
4, -63.296875, -1049.97632268711
4, -63.28125, -1052.31462314038
4, -63.265625, -1055.5023239546
4, -63.25, -1058.99707538297
4, -63.234375, -1060.04782231769
4, -63.21875, -1054.88938462187
4, -63.203125, -1063.98854021751
4, -63.1875, -1068.61268819985
4, -63.171875, -1077.60643708357
4, -63.15625, -1086.01881383639
4, -63.140625, -1093.04482419521
4, -63.125, -1098.70675783523
4, -63.109375, -1108.4349809651
4, -63.09375, -1110.09295647859
4, -63.078125, -1102.97270808299
4, -63.0625, -1099.16664559057
4, -63.046875, -1099.63415015209
4, -63.03125, -1093.93792374653
4, -63.015625, -1094.04381228529
4, -63, -1090.67086867616
4, -62.984375, -1097.81382748147
4, -62.96875, -1095.47028611426
4, -62.953125, -1093.90774513863
4, -62.9375, -1092.77543415152
4, -62.921875, -1079.97119916976
4, -62.90625, -1072.81771854474
4, -62.890625, -1061.73789771763
4, -62.875, -1058.8040598724
4, -62.859375, -1057.79060287005
4, -62.84375, -1052.7322147229
4, -62.828125, -1049.72270644619
4, -62.8125, -1046.41333442391
4, -62.796875, -1049.233612151
4, -62.78125, -1054.68817067798
4, -62.765625, -1062.48310609139
4, -62.75, -1067.15669822576
4, -62.734375, -1069.4163336152
4, -62.71875, -1064.87220962346
4, -62.703125, -1062.0985140471
4, -62.6875, -1066.47224966041
4, -62.671875, -1067.26980680902
4, -62.65625, -1055.8559018434
4, -62.640625, -1051.43374077033
4, -62.625, -1053.98514871357
4, -62.609375, -1054.71404454333
4, -62.59375, -1060.62936457491
4, -62.578125, -1065.6828188519
4, -62.5625, -1069.54334406881
4, -62.546875, -1073.99245529633
4, -62.53125, -1081.63315100793
4, -62.515625, -1088.761734345
4, -62.5, -1092.67387844482
4, -62.484375, -1093.21928971412
4, -62.46875, -1104.06396033603
4, -62.453125, -1107.21186070028
4, -62.4375, -1108.35271740844
4, -62.421875, -1117.17166914372
4, -62.40625, -1118.53632313537
4, -62.390625, -1113.62769908167
4, -62.375, -1107.74841460446
4, -62.359375, -1108.24807915767
4, -62.34375, -1104.20382402092
4, -62.328125, -1098.23890132131
4, -62.3125, -1090.35855055985
4, -62.296875, -1090.77880022279
4, -62.28125, -1089.70389697072
4, -62.265625, -1094.76592919522
4, -62.25, -1109.74912654655
4, -62.234375, -1121.64092281717
4, -62.21875, -1117.31224561366
4, -62.203125, -1117.61004725925
4, -62.1875, -1122.76465155347
4, -62.171875, -1122.88022119505
4, -62.15625, -1127.78568148357
4, -62.140625, -1133.62702873035
